Author;Komentar;Klasifikasi
Vicky Salamatul umah;mantap;positif
Srandal Jepit;enak;positif
Nina Ms;bgku murah banget coz daging sapi emng mahal;positif
Rita Amelia;mah murah bngt;positif
Arin Listy;muraaaaahhhh jogja semueah eeuuyy jd pengeeenn corona pergi kakak jkt order aaahh tengkyu kooooo reviewnyaa jemppooolll;positif
Slow wae;harga sih normal mahal masuk akal;positif
Muhammad huzaifah Al ghifari;harga worth beli produk atta;positif
Ery Widayati;murah banget harga gilaakk;positif
Mbendol xx;gilaaa murah baget coyy;positif
Delva Jariah;inimah masuk muraahhh kayak makan steak luar ibukota harga;positif
risma Jajat;mantaaappp;positif
Ayu muti;murah harga;positif
Merik Mifta;harga murah bgttttt;positif
adi satya Hartono;gila murah banget;positif
Niken Hilda;murah masuk tuh an;positif
Rais erizam;murah lohhh;positif
anom suroto;murah banget;positif
Tasya Forida;jujur murah banget sumpah;positif
Hadyul Yusri;anjay murah gak;positif
Rofiq Ebrot;gilak harga murah banget;positif
surya melati;murah enakk;positif
Rio Wiratama;gila masuk murah ko;positif
Danamond Dana;murah banget;positif
Diara Diana;harga jangkau;positif
Salsabila Khairunnisa;murah paraaah;positif
Rahayu Susanti;murah yah;positif
Anak Rantau TV;enak;positif
Yanti Megawe;enak;positif
Minarti munthe;kelas artis masuk murah;positif
HÃ½pnÅcaÅ¥rice Kushala Daora;kelar antri antri ngikan nungguinnya putar jepang wkwk;negatif
Pisces Februari;koreksi kak sebenernya nasi liwet asli nasi plain teknik masak liwet liwet masak pakai api kadar air aron tutup atas oiya liwet kukus;netral
Ria Puspita;bilang cabang rasa bedabeda risiko franchise gitu sih franchise pakai sistem central kitchen branch;netral
lemonade fm;baru kemarin nyobain cabang jatiwaringin karna emang kaya bagus sellernya sambal matah jadi pesan terus emang rasa ku sambel matahnya kaya sambel matah bumbu ditaro situ udahbgak fresh gitu rasa tepung ikan jugaa deket daging tuh rasa tepung bantet gitu pokok makan bareng kaya tabrak gitu;negatif
under line _;mesennya makan wkwkkw;negatif
Neni Rohmanomon;alesan gue percaya tinjau jwestbros gue dapat gue tau harga rasa bener harga diupgrade emang bener gue over rated sambel matah kurang matah ikan kata gue kaya kertas saking tipis gue coba cabang bandung bener bener gada tekstur ikan saking tipis;negatif
Brave Heart;sambel matahnya sambel bawang kata sembak owner balabalanya sesuai selera jadi sukasuka gimana rasa;netral
jene nisa;sistem franchise baik untung yup deket ngikan yuk cengkareng ayam keprabon janji jiwa kopi soedkk rating ojek online cabang cengkareng kurang tahun lihat ngikan yuk cab cengkareng tetangga;netral
devi santi;makan liat tinjau jwestbros jwest bilang enak langsung capcus nyoba bukti enak khusus ngikan nunggu tinjau nya jwetbros keluar keluar nyobain makan ngikan finally reviewnya keluarpenasaran banget nonton kira dapat jwest ttg ngikan taraaaa lidah yak heheheh ngikan surabaya sambal super pelit habis makan tengah sambal habis duluan wkwkwk tepung tebal banget sambal rasa bb jwestbros top;negatif
Irul Enda;jg dah cobain rasa ikan kaya pakai bumbu tepung jg karna garing kriuk banget tetap hambar rasa sambel mercon jg pedas asa bumbu matahnya si mending tetap si bb banget gakaya orang bilang jujur yah suka banget rachel ngomong ngomong hehe;negatif
liong liong;capek banget gue liat andy ngusirin laler;negatif
Pradita Ananda;keliling tebet jepang cengkareng makan;netral
Ratna Widyaningsih;gua kira gua doang rasa tuh tepung hambar nyata rasa gitu hehe;negatif
f&u;kaya enak ajadeh makan outlet ikan rada tipis tips biar hambar emg makan enak sambelnya tuang atas ikan;positif
Wahyu Ramadani;bener sambel matah nya fresh aroma jeruk jg keluar pedas engga galak perut gua gaberenti berak kemaren;negatif
Silviani Sagita;ikan hambar nasi lumayan enak dikit banget coba gilss nyemil mah ngomong ngomong sambel matahnya jg gak tendang rasa gajelas;negatif
TRISATYA Pradipa;nyobain malang hmmm tida cocok lidah emang cukup coba;negatif
Stefani;penasaran banget ngikan bilang enak banget terus ngeri takut antri panjang eh pas cabang citra raya nyata sepi gak antri jd makan situ langsung bawa pulang kaget si lihat ikan nya besar sulit cari ikan nyata besar tepung hehe rasa tepung ikan sambal matah nya lumayan bungkusin gitu kira bakal fresh nyata yah enak rasa sih nasi nya emang enak gurih inti penasaran lg pas kantong anak kosan hilang laper;positif
Mita Azis;antri doang bikin candi gue dm ngstory tag klean minta part;negatif
Dewi anjani;honest tinjau rasa bb cenderung tawar ikan tepung keras gatau karna make behel jadi rasa keras jadi butuh effort ngunyah bb gituuu sbl;negatif
PKL pembeli kaki lima;ffs;netral
Daffa Saputra;allah mengunggu;netral
It's Andina;wuadaw antri bulan perlu bawa ransum makan;negatif
Eralda Enjelina;kurang tau bang emang kurang cocok lidah nyoba mercon matah nasi liwet ikan sambel nyatu tabrak rasa;negatif
dear Marsha;tunggu tunggu bngt yaowloohh;negatif
Frida Ardina;kata ikan kek aroma tambak gitu tau gas kayak ikan mujahir bau tanah gitu yagasih sensitif;negatif
ibrahim uwuu;iya pas pesan matah lihat tinjau orang mah matah kata matah makna mentah jd mateng gituuuu;negatif
Pratama Putra;sedih si via onlinee;negatif
Zenny Makeup;gue habis beli cabang blora sudirman banget ikan wkwkwk;negatif
Spyhnx Dark;cobain semarang tepung nya asin banget hangat nasi nya benyek benyek salah murah sih jadi yaudalah;negatif
Key & Ken;ngikan chapter jogjakarta nasi enak beneran nasi lite uduk;positif
Rahma anita;baru nih jadi subscriber tuju dapat pengaruh sistem franchisenya konsisten soal cabang menteng sih enak sambal matah nya potong sereh nasi liwet nya enak masalah interior sih tuju kurang bersih kurang nyaman cabang blora menteng gabisa grabfood duh moga konsisten cabang;positif
DRUPADI PROBO;mending lalat doang bensu bogor taman main kecoa lari;negatif
Alifia Nabilah;owalah franchise moga owner cabang improvisasi biar enak;positif
Aishitteru Lanz;akhirnyaaaaa bapaaak bermingguminggu antri jadi ngikan;negatif
nub gamers;balik banget sih bang gue cabang wonodri semarang tepung ikan nasi asa micin banget mual rasa terus sambel mercon basi gitu fyi nggaada menu tambah sambal bang;negatif
Riska Ashang;bener sih sambel matahnya ampassssss kecombrang sih bahan bener sambel matah sereh loh nama sambel matah hari bom video keluar coba beli nyoba dikit sambel matahnya langsung buang saking rasa tipu bikin sambel wakwakwakaw;negatif
Nilawati Ariningsih;kayak sambal goreng bang soal gua bikin matah besok layu sih tuju sih tepung hambar sambal dikit jadi sambal habis jd gada rasa;negatif
mahardyanti kusumawardhani;sekian antri ngikan;negatif
Pat Tsang;hmm cukup antri wwkwkwkwk;negatif
darren halim;lembek nasi wangi sih ikan garing sambel kurang tendang;negatif
squarepants 05;pertama gua nyoba emang rada plain si ikan krispi nasi liwet kematengan plain sam sambel kurang pedas kurang;negatif
latifah os;setujubgt sihh sambelnya pelit makan ikan gasampe tengah sambel habis tepung jg bener sih gada rasa makan dipretelin satu beneran worth it ekspektasi nasi liwet dalem tuh teri sesuau promosiin sg pas makan nasi nya beneran flat asa pakai ager;negatif
Jodi Sugiantoro;ngikan semarang keras tepung ih;negatif
intan mbem;cobain sego sarem cak boyo tanjung duren deket pasar kopro another makan murah kenyang enak;positif
NAYLA AZAHRA.A.;gue coba baru keluar part nya alam gue pertama akhir beli karna habis makan langsung radang tenggorok minggu bhay;negatif
Yofie Setiawan;gue makan ngikan cocok daging nya kaya bau lumpur gitu wkwk;negatif
Adefy Nf;beluummm siap jual yaa jual dl;negatif
ameiya 10;antri bang;negatif
april iin;gaenak;negatif
zaky prasetyo;coba nih pertama kali buka box nya mata fokus sambel dikit banget pas makan lauk nasi sambelnya abiss tepung hambar ikan gak rasa moga selesai tinjau ngikan pt sambal tambah;negatif
Yanti Suciyanti;mantap antri bulan nih hahaha;negatif
Irgy Ardiansyah;antri ngikan yuk bulan gais;negatif
Andristamba 2017;ternyataaa antri minggu minggu worth;negatif
anak hokki;abis enak nasi ikan wkwk;negatif
Deny saputra;ngejelasin nya jelas suka siih ngomong ngomong abb enak banget klo tmp nasi nya dikit banget wkwkwk;positif
Tude Kepakisan69;cabang bedabeda sih takar sambal rasa tepung lembek nasi karna nyoba tangsel solo beda tau cabang ownernya beda jadi hasil beda jadi saran training owner cabang liat deh ka rachel vennya nya baru buka;negatif
Siti Juriah;tuju sambal kuning enak heran influencer promote oseng mercon matah;positif
Tuti Wahyuniyy;antri nya tahun ye bang;negatif
Syavhira Evani;ikan tepung filet ikan tepung chripsy saji sambel kuning emang bumbu pesmol bumbu kurang medok;negatif
H.K.J 19;antri beli ikan putar putar jepang;negatif
Hana Fadhilah;acar kuning si enak;positif
vety fatimah313;jogja outletnya bener mulai sepi jadi capek antri;positif
Rayhan Muh;lalat sliweran;negatif
assaputra1;laler ikut syuting terus awal akhir makan wkwkwkw;negatif
MOOI;jadi kaya flipburger awal rasa parah enak kesini caur;negatif
Kartika Yazid;antri bulan saking;negatif
Erwin Tan;kak liwet emang kurang coba cibubur kaya rasa lebi enak soal kadang tempat beda kaya rasa;netral
Santi Santi;antri bulan;negatif
Nadia GR;ngikan yuk enak engganya gantung cabang nyoba jogja nasi liwet enak banget pas nyobain beda cabang rasa beda banget;negatif
Lyanna Nova;baru nama tinjau lengkap jelas;positif
Alexa Lee;ajaa mah awal jugaa bumbunyaa dikit bangettt skrggg;negatif
Lismawati Lisma;sekian antri wkwkwk;negatif
Nung Muhdar Mahmud;tebet enak bang beda cabang dah nyoba;positif
Utari Setianingsih;kek cabang beda gue nyoba didepok tangerang rasa nasi beda daging ikan samasama lumayan tebal;positif
Miftakhul Jannah;nyobain ngikan cabang jalan kaliurang yogyakarta cabang nasi liwet asin selera too overpowering jadi rasa ikan gak nyambung nasi sambal mercon lewat minyak harga turut not too bad;negatif
Azizah Vivia;asli beli ngikan bandung antri antri nya;positif
Woman.Net;dor sambal matah ayam kremes keratin enak cepett pesan makan;positif
widya widya;cabang bus manggis nasi liwet benyek banget makan suap daan sisa biar mbak mbak abisin kek makan bubur tepung gak asa enak sambel mercon daaan sepiiiii ajaaaaaa;negatif
AAN ANGGRAENI;makan sudirman ikan nasi liwet sambel mercon enak bgtt;positif
Tasya Sumampow;minggu gue nyoba sambal matah habis kena radang lol;negatif
Dian Andriyana;emang selera si yaa gue acar kuning engga bangett enak gue sambal matahnya selera siii yaa;netral
Widya Wardhani;coba makan tempat tebet kemang alhasil rasa beda jauh tempat turut suka tebet balik selera;netral
kharisma indah waraspati;nasi nya enak ikan tipis biar crispy biar tepung lelep gitu emang enak acar kuning mercon matahnya bener jauh matah wkwk tepung emg beneran gada rasaa bikin takut makan bareng full of flavour eneg;positif
Dewanti Dian;tipis banget ikan wkwkwkwk ikan kn enak tebal biar asa rasa ikan wkwkwkkwk;negatif
Mega Ayu;tipis banget ikan nya mahal nasi bungkus nya kek nya;negatif
Kata Iya;the thing is ngikan malang jl bandung has very good rice nasi liwet gurih wangi cabe rasa hahahah porsi nasi kayak stengahnya makan victor andy ikan tipis banget rasa daging tepung tebal sambelnya cup kayak inco jelly do think for that kind of harga point malang worth it mending beli cak uut le;positif
YUREFLINA ISA;sambal matah hilang jati hiks the real sambal matah tuh kayak bal luar bal jujur knp rasa jd kayak sambal sok matah kecewa ngikan gue tuju banget jwb emang cocok ganti nama jadi sambal bawang gausah maksain tetap beri nama sambal matah;negatif
suenda rimawati;ikan tipis tepung oke komposisinyaharga rb doang bro gabisa lo expect ikan gede;netral
Vrisilife Channel;coba sambal mercon sambal acar kuning sambal mercon sih kaya tetelan nya gitu sambel nya koreksi salah suap pertama dua tiga empat okey pakai tetelan suap lanjut arah enek jadi nya beli cabang tebet sambal acar kuning kurang suka sih selera rasa nya kek penuh gitu mulut kulit nya krispy tuh tetap suap satu lima oke suap lanjut nya kek capek gitu ngunyah nya saking tebal kulit krispy nya sayang nya coba sambal matah karna habis terus;netral
Ayrisyan 19;sumpah makan distore bandung ko enak seriussambel banyaknasi wangiikan gede tebal ownernya worth it harga rb gak antri;positif
Rafi Annas;ngikan ramai banget kaya karna drpda kmrn olah ayam beda pakai ikan klo fish chips mahal jadi fish rice dgn harga murah yah jdi solusi klo males masak;positif
Fransis Christiano;dapat ikan enak nasi aroma strong jadi nyambung ikan mending makan pakai nasi putih pakai saos;netral
rosa diga putri;hari nyobain ngikan yuk cabang dago bandung nasi liwet medog banget rasa bumbu rasa nyobain sambel matah sambel mercon tinjau nya kokokoko dua kayak tuju rasa sambel matah sambel mercon nasi beda perspektif liat video emang beda cabang yah overall suka sih ngikan yuk enak worth it sambel wadah lumayan cukup makan rasa turut sip ngikan cabang dago;positif
lusi ade;ikan tipis tepung tebal alot mohon maaf sblomnya kaya tepung murah bantet dalem krispinya bantet;negatif
Harits Dhani;kali sih gue dapat jwbrost sorry fansnya rachel garis keras wkwkwk sorry say banget gue ngikan super duper bb bangeeet wkwkwk sambel bb sih kek sambel ikan asa alias gaada rasa wkwkwkw emg tipis banget super bb maaf banget mah bikin rachel kaya wkwkwkwk anyway gue makan depok yaaa get paid sih sesuai harga murah gue ngikan nomor mending gue beli geprek bensu hahahahaha;negatif
Yohana Setiawan;coba dago bandung rasa nasi liwet oke kayak liwet sunda rasa gurih ikan tebal setip liat video sambelnya pilih matah emg sih seger porsi lumayan pedas overall oke harga rebu pilih bosen makan ayam geprek hehehe iya antri menit;positif
Vicke Alizaranny;tumben reviwnya kasih bintang ko;netral
rayi azka;gleen chelsea pintar dagang lihat porsi harga jenis makan kayak bingung arah target pasar kayak gimana target pasar anak muda jelas mahal target pasar orgkaya jelas resto mahal jkt punya baik servis lbh oke banding konsep matang just my opinion dont judge moga lbh baik lg dpnnya;negatif
imelsa;parah gak pikir lingkung banget yak resto sampah gak kira masa cm naruh lauksambel pakai paper bowl tata mohon donk hari gin orang berfikir less waste dy nyampah;negatif
The Guns Home;susah sih nyediain piring sendok gelas everything plastic rubbish;negatif
Ando;bawang goreng rb hadeeehhh bakso bensu toples bawang goreng ditaroh meja loe ambil puas asal toplesnya gak ikut makan;negatif
Davina Mc;sesrategisnya tempat mahal tempat bagus tempat yamasa si sendok plastik ofcourse kecewa maaf gak worth it uang customer keluar maaf harga resto loh at least sendok garpu piring sedia sedih banget lihat gak sesuai design interior nya bilang mewah;negatif
Rania Salsabila;perlu berterimakasih koh felix nih ubah porsi menu banyak krna video koh felix bener dikit sendok menu liat fresh kaya baru masak video koh felix foodvloger liat sayur kaya angetan overcook pesan menu pisah campur jadi satu;positif
Pratiwi Dian;tempat bagus usai konsep makananya porsi packaging efisien dri riview rasa bagus ni kea gin gabakal tahan rasa enak orang bakal berfikir kali harga minumanya jg matching makan;negatif
Angel Lie;harga mahal makan gak antar kalah abangabang mie ayam murah tinggal duduk makan datang wadah sih jadi sampah alias pakai terus buang kayak bungkus pop mie;negatif
hel rachel;kesel banget gue liat tempat makan efisien parah sedih bayangin sampah worth it imbang makan dikit banget;negatif
Dwi Puspa Nurma Dhanti;sendok nya anjaayyy sendok seblak belah rumah gue tuh;negatif
Diena Setiani;sekian restoran ken grat makan cumn pelit sendok nya memperihatin harga nya mahal;negatif
Omanah Sule;dine in packagingnya take away ih gmna sih tempat makan astaga tempat usaha zero waste;negatif
Uswaa 123;pakai tempat efisien sayang banget jadi sampah pakai piring bagus;negatif
tabitha lily;gue vibenya identik cute lucu gemesin dukung pilih warna spot spot bunga girly banget kirain bentuk makan saji bakal masuk konsep arti bakal lucu mayoritas baik makan minum bikin pinkish cenderung pasta pasta makan khas indonesia gue kesan cocok jikaaa konsep tempat mirip rumah sedep selain opini pribadi nomor offense;negatif
alda isna;sendok sma kayak sendok jual naskun smping rumah reviewnya cari aman kak dri tinggal bilang yaa kmbli lg tanya bagus makan liatin tanya;negatif
Yohanes Setiawan;kemas rice bowl strategi porsi lihat baik profit jangka panjang;netral
Kento Nakajima;rb dpt sendok bebek makan nasi bungkus rb an;negatif
devina natali;harga mahal porsi sampah doang banyak banyakin amit amit;negatif
Ika S;haduh menu waktu anak kuliner makan pesan menu makan dijadiin satu tempat nasi tambah puas lauk dikit banget bro maaf;negatif
Maurithea Diana;chiken riak mahal dunia;negatif
ima roel;kesan kerja tempatbrand nya urus makan komunikasi aneh jadi sinkron gitu harga jg jadi bingung sebenernya bayar mahal makan tempat;negatif
Mitha Anjaswari;tempat bagus sendok prihatin pelit sih jual;negatif
Indigo Snps;sumpah lestoran artis mahal tempat oke strategis sekali pikir dapat kaya menu lauk taro lepek gtu lo kaya warung padang sekali masukin box gitu baru dikit wkwkwkwk box klo gitu habis cuman kaya makan nasi campur;negatif
Iis Ismayanti;revisi jatuh mahal jg terus makan lauk mcm gitu enak piring gak numpuk gitu lauk;negatif
Dini Istiqomah;bawang goreng bayar murah rb gak perlu bayar hehe;negatif
Melati Diana;tingkat volume porsi deh tinjau food vloger;positif
Nuri Fitriana;sampah gunung sana gilir banjir orang jakarta nyalahin perintah sedih;negatif
arsyla naura;mending porsi;positif
Amat Wiguna;chicken teriyaki mahal dunia ceplos emang sengaja;negatif
Elvixa Nuriansyah;nasi ramess rb mending beli laenn wkwkek tinjau jujur anehh sih jual tempat dgn design bagus beli piring gelas plastik rempongg sih makan dine in pakai mangkok take away kaya gitu;negatif
Deni Nugroho;tinjau mending ken grat cermat banget pesan menu paket buat hemat banding pesan nasi lauk lauk menu paket plus minum punya dapet masuk tinjau food vloger tetap aga ganggu segi packaging kurang eco friendly efisien misal pesan tambah lauk moga terus baik;positif
nyiie warok;jam orang ramai kurang pakai plastik sterofoam eco friendly;negatif
Shifa Nirmaya;tuju banget sih zero waste eh nambahin sampah;negatif
citra miranti;sedih nyampah banget sih kemas susah sih nyuci piring cutlery;negatif
Nurul annisa maydina;si glen si chelse bikin usaha pelit;negatif
Endah isnaeni;ken chicken teriyaki mahal dunia wooww banget yatp gue harga sesuai sih porsi;negatif
wulanindah safitri;calon tahan kayak;negatif
Witya Putri Kayla;sobat misqueen coba masuk dah auto kosong dompet;negatif
deby wadadidaw;nontonin vlog vlog alinskiefamily ngapain semprot semprot steril kaya perfectionist bikin resto ramah lingkung kaya percaya orang tuh concern banget guna plastik gitu make;negatif
echa samsir;sendok plstik sma dg wrteg sendok plastik pinggiranny tajem klo masuk mulut suka lecet bbir;negatif
Roff Serem;gila mahal kali pantas sepi jual mahal beli baru mahal;negatif
Neyli kamilah;geprek bensu tempat nya dipekanbaru tengah kota banget harga nya normal wkwk;positif
Eza muhammad 99;gak worth it not rekomendasi harga kuantitas padan oke wajar klo restoran bintang taraf internasional klo kelas cafe dgn makan rumah yaa jelas worth it;negatif
Michelia Angelina;auto sepi sih kyanya masa ukur rice bowl gitu ribu tambah lauk ribu isi;negatif
titin sugiyarti;gua kesitu tau gua miskin harga porsi mahal medit mending bensu artis seriusdah;negatif
marlin lede;nasi ramess rb mending beli laenn wkwkek tinjau jujur anehh sih jual tempat dgn design bagus beli piring gelas plastik rempongg sih makan dine in pakai mangkok take away kaya gitu;negatif
ita arpita;liat gemes makan nya pakai sendok gitu si kasih sendok besar kayak tempat nya kek bandingin bensu hrga nya pas kaum;negatif
Lilyâs Diary;ogah dah punya duit menu kayak warung tegal deket rumah porsi tukang becak rb lauk mahal nama artis doang kengrat tempat gin lg deh mending jalan jalan keluar negeri wortit harga mahal;negatif
Rully Februanita;sendok gak banget tuh sendok kl kna bibir samping sakit brooo;negatif
haidar muhammad;mahal gaes porsi packaging nya gak efisien asli jual nama doang;negatif
Inna Devi;kemas sayang sih kl makan tempat susah sediaain piring plastik gitu target marketnya high dgn harga segitu;negatif
hendry diesel;bensunda ribu alhamdulillah kenyang;positif
mega silviany;enak bawang goreng;positif
amoy channel;sendokkk nya ngeri kalah abang mie ayam warung tegal abang bakso tukang somay sumpit sendok garpuhhh hatihati mulut sobek sendok plastik nya;negatif
Ika Atika;ajar kurang sampah plastik resto banyakin sampah plastik susah pakai piring gelas astaga indonesia sampah ditambahin bayang hari langgan datang pesan menu beda satu order sampah plastik numpuk;negatif
Rafita Ekayanti;tempat bagus kenk;positif
ninQ ninQ;keluar modal dapat untung banyak penting untung puas konsumen masa bodoh;negatif
indri widianingsih;juancux mahal banget pikir tentu harga dgn masakan rumah;negatif
Widie Wt;mateng konsep turut desain interior kayak kurang cocok klo makan rames lg cara saji dine in ygakhirnya bikin nyampah ngomong ngomong lihat sendok enas banget ampun xd sendok buang cuci lol;negatif
Nur Hasna;biar gue duit najis suruh makan tau makan imperial resto mahal worth it;negatif
Tasya R;cukup tempat fun fun an tmptny bgs punya artis jg jd sensasi beda jgn tiep hari hihi;positif
Battio fernando Pardede;niat anjir jual wkwk sendok kek sendok nasi kuning an wkwk nunggu tutup deh mas artis laen niat jual makan;negatif
Mitha Ariesta;mending bensunda resto nya si abas pacar lucinta luna gua salut banget kerja emak resto nya mewah harga rakyat;positif
Brevan Setiawan;sedih lihat makn tempat kasih piring gtu sendok sendok plastik kaya gtu mahal bayar tempat bagus ac;negatif
Ilmi Wakhyu;perintah campaign kurang plastik pakai plastik pakai pirng hemat ramah lingkung gak cocok lihat resto elegant gitu deh sumpah jd lihat murah;negatif
Agung Santoso;sumpah bawang goreng beli njir;negatif
Tasya Sumampow;hahaha pertama concern sampah plastik nya efisien saat dunia alih organik ramah lingkung;negatif
tata realion;tempat makan tempat jual kue ulang tahun marketingnya berfikir;negatif
Delima delsar Delsar;pokok rm artis keren abiez hargarasanya rakyat banget tuh yah ko ruben onsu bensunda geprekbensu mantulabiez;positif
Henny Tonjes;luar tempat bagus makan nya sih rada over harga ala carte rb cuman comot;netral
akun buatan;makan tempat tempat makan styrofoam sendok plastik gitu lauk ditempatin styrofoam gitu biar sihhh apa mubazir bgd dukung go green;negatif
N3 Stefanie;sambel bayar bawang goreng bayar pantesan gue kagak kaya kaya warung gue leseh lo bebas ambil sambel gapeduli cabai naik gak;negatif
kania kalista;hahaha ngomong tempat bgs terus;positif
Haha 2430;cel cel coba contoh resto luna maya cara saji rice bowl nya okerasanya enakharga terjangkauga jual nama tempat bagus;positif
Yudi Natalius;fixx bangkrut tuh restorann;negatif
chrisma fitriani;duh kemas gak banget dipake makan tempat pakai piring sendok mohon;negatif
nabila aja;koh felix good banget berkat tinjau lbh baik menu paket tempatnnya nyampah bgd yaaa;positif
Dwi Barokah;mahal banget sih harga segitu lauk cmn dok makan doang;negatif
novra hadi;mahal tempat fancy alat makan plastik;negatif
Kangnyinyir Kangnyinyircoy;hrganya dimhalin soal tmptnya tengah kota jadi sewa tmptnya mahaltapi masa iya makan segitu hrgnya wow banget wkwkwk;negatif
Mulyani Aja;klo porsi dikit harga mahal riview abissan bilang seru seru balik lg tempat;negatif
Witha Amaranti;mahal bayar remot;negatif
NAYLA AZAHRA.A.;klo habis makan cup tempat ancurin biar pakai lagiii sendoknyaa hmm parah si interior nya bagus;negatif
Unaqa Nur Azzahra;dah liaht rieview jadi dibanyakin porsi;netral
joshuajonathan;bawang nya beli sambel nya beli;negatif
Nabule Ramadhanty;karyawan senang cuci piring;netral
Winda Indriyani;balik tempat nya bagus;positif
Farah Basellina Safira;kayak resto artis ngehasilin sampah banyak yak mahal banget pulak;negatif
hahaha indonesia;restony kerenview oke saji makan minumanny matching ma restony cocok take away;positif
Ari Putri;tetap si orang kek gueh mahal kaya lbh jangkau macama deh;positif
syahreen amin syahreen;mending untung resto langgan ambil untung langgan beli karna mahal;positif
R'S'T.;paket bombardir netijen channelchannel;positif
Nunu Andrianti;harga kurang rakyat harga porsi sesuai konsep nya masuk banget kata;negatif
ta wie;gue sih ogah makan dsana mending makan padang;negatif
Jaenal Abidin;tempat makan gak efisien banget pakai ampuun sampah dooong;negatif
Leni Chandra;kmrn da lbh enak murah gak tahan coba liat ganti kl gue sik liat depan maapjulid;netral
adam rizhqi;kurang suka samaa tempat saji nya gak sesuai tempat nya pakai piring sendok jgn semdok plastik hmmmm;negatif
si kembar chanell;nasi nya nmbah puas kaya lauk bakal kurang jd kya mungkin besar ambil lg nasi lauk jg pas;netral
Maretta Lisa;habis du riview kofelix perubuhan;positif
Ira Fatma;nasi lauk tumplek plek jadi isi masakan standart rumah ala ala warung tegal sendok pakai nasi uduk rb bungkus sorry opini pribadi beda;negatif
Syafitri sa alfionita;cma ruben onsu bikin resto rakyat mulai dri ayam geprek onsu resto baru buka tema all eat harga;positif
Wahyuni Pratiwi;tempat bagus sih berfikir kale klo harga segituuu tempat bagus harga jg sesuai penyajianya rice bowl;negatif
Yenny Maria;nya wadah guna;positif
Rizki Farel;kesel resto artis kaya butuh banget duittt harga langit warga;negatif
Ef Kartika;tempat buat jadi cafe cake roti kopi teh gitu bakal dateng;positif
Merpati Lampung;maaf maaf sendok lho enas ckckckck;negatif
Vivi Farel;dtunggu kmrn komen diturutin beda paket kmrn anak kuliner bang mpin paket;negatif
J'aS CHANNEL;tinjau alinskie kitchen kesel bawa;negatif
Stane Lee;mahaaalll sekaliiii nonsense;negatif
Vip 456;porsi kek tinjau pertama channel belah arti evaluasi nih;positif
nadaf as;bisnis makan artis rakyat jelas ruben onsu doang wkwkwk;positif
Kris Peiris;chiken teriyaki mahal dunia sendok dpt paket ayam gepreknya bensu;negatif
Jonewu 826;ubah guna direview;positif
bypas channel;wadah sia sia bangeeeet;negatif
Bunga Cendani;liat tinjau gak bagus si cmpur jadi satu terus harga mahal jujur gak suka gak sesuai;negatif
Riana Walle;parah banget woy sampah plastik;negatif
Viska Dewi ast;mending pesan paket klo pesan satu jd mahal banget saran sendok ganti susah banget makan pakai sendok gitu terus dlm bowl;netral
Annas Akbar;mnurutku tempat bagus banget bb lg lbh bagus makan nya enak;netral
Retno FH;tetap mahal;negatif
lucky febrian;positif thinking sewa tempat nya mahal tengah kota gaji karyawan dekor nya;positif
cake cake;gak masalah loh porsi harga rasa enak sih lumayan sendok anjir tertawa astaga;positif
Ramyresh Halomoan;sepiii cuy;negatif
M H;gak go green banget knapa gak pakai piring cuci;negatif
Ribka Lubis;pantesan wife cakenya chelsea disemarang bangkrut nyata emang gitu cara bisnis kuliner wkwkwk;negatif
Mokoni Erli;beli minum nongkrong ber jam jam puasin foto dahv;netral
Efhreim Sibuea;mah nama nya lestoran bangkrut;negatif
anita guswara;si ken nyindir wkwk ciken teriyaki mahal dunia;negatif
Imam Zainal Mustakim;nasi nya refil percumalauk nya muat suap doang wkwk jd rb nasi tetap mahal;negatif
Clarion Geus;terimakasih reviewnya cukup tau makan harga mahal saji bagus warung tegal piring kaca sendok garpu stainless steel kasih rice bowl sendok bebek plastik bikin bibir baret;negatif
Yuli Darmawan;hhhmmm klo buka batam kaeqnya gak beli deh soal mahal banget tuh rb seupritnamanya menu lauk datangha rice boll soal restoran lo toko bazar gitu;negatif
Atna Aiwa;pakai piring mohon glenn nyampah;negatif
Ema Chanels;first of all gasuka saji knp sih buang sampah for me mahal prefer makan mall thankyou kenngrat info;negatif
Abigael Jane;dine in pakai bgituan go green banget bikin sampah;negatif
Dicephalous 90;ember mahal banget gilaa uprit doang pelit banget;negatif
Aulia Fitriani;konsep nya masakan rumah ajar ruben onsu indonesia gak butuh makan mahal banyak filosofi cukup murah enak;netral
guy jkt;gua jd orkay kayak bakal berfikir jg makan;negatif
Rina Khotimatin;ihh kesel banget jujur banget sampah pelastiknyaa pakai piring gelas beling sendok sedot besi males banget nyuci gmn sih;negatif
kristine julia;harga mahal sendok kyak gitu hahahaha;negatif
Omanah Sule;chicken teriyaki dgn harga segitu minta hujat banget sih hh;negatif
Lovinta Dyah;kengrat balik tempat bagus;positif
yes, I love it;tertawa ayam teriyaki mahal dunia;negatif
Alvino Lee;artis sih pelit banget;negatif
ICUTE MH NOORIZ;harga mahal makan kenyang;negatif
Ermi Ermi;jauh kata resto mewah piring plastik sendok plastik serba plastik satu lgi layan masa meja suruh ambil;negatif
Fraderic Sutanto;resto konsep warung tegal mahal kayak makan pop mie jak yee;negatif
Lidia Lidiya;sendok gemesga enak makan pakai sendok gitu klo;negatif
